Company Name,Google Maps URL,Description,Website,stripped_website,Column 1,Phone,Address,Rating,Reviews Count,found contact already [y/n],Company Name,Website,Website Status,Address,Country,Person Linkedin,Title,First Name,Last Name,Email,Company Generic Emails,Company Email Source,Email Source,Mailtester,Personal Phone Number,Company Phone Number,Phone Source,Remarks
Peking Kitchen,https://www.google.com/maps/place/?q=place_id:ChIJaUzu-mOaToYRvCcCw23YBwk,Casual neighborhood offering for all-you-can-eat Chinese classics in no-frills environs.,http://www.pekingkitchendallas.com/,pekingkitchendallas.com,1,+1 214-331-8555,"1710 Norman Dr, Dallas, TX 75211, USA",4.1,417,No,Peking Kitchen,pekingkitchendallas.com,Web Working,"1710 Norman Dr, Dallas, TX 75211, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214 331-8555,,
Chamoy #5,https://www.google.com/maps/place/?q=place_id:ChIJeeO64mOaToYRFDvXhmE2yK0,,,,,,"3225 Dawes Dr, Dallas, TX 75211, USA",4.2,361,No,Chamoy #5,,Web Not Found,"3225 Dawes Dr, Dallas, TX 75211, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,N/A,,
Taco Rico,https://www.google.com/maps/place/?q=place_id:ChIJv28bal2aToYR3Ig6jsysfEw,,https://www.facebook.com/pages/Taco-Rico/226170394091414,facebook.com,108,+1 214-623-0885,"2850 W Clarendon Dr, Dallas, TX 75211, USA",4.2,420,No,Taco Rico,tacoricotmc.com,Duplicate Company,"13507 Biscayne Blvd, North Miami Beach, FL 33181, United States",United States,,,,,,,,,Duplicate Company,,1 305-816-6926,,
Taqueria Tacontodo,https://www.google.com/maps/place/?q=place_id:ChIJ1eiinZWbToYRq8_BST0XyDY,,http://ordertaqueriatacondo.com/,ordertaqueriatacondo.com,1,+1 469-677-5020,"3850 W Clarendon Dr, Dallas, TX 75211, USA",4.4,107,No,Taqueria Tacontodo,ordertaqueriatacondo.com,Web Not Working,"3850 W Clarendon Dr, Dallas, TX 75211, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 469-677-5020,,
Taqueria el aguila real,https://www.google.com/maps/place/?q=place_id:ChIJ7QDJetabToYR5R4iIT0Iu5k,,,,,+1 214-613-6676,"616 Schooldell Dr, Dallas, TX 75211, USA",4.6,112,No,Taqueria el aguila real,,Web Not Found,"616 Schooldell Dr, Dallas, TX 75211, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 214-613-6676,,
Carne Asada Al Carbón,https://www.google.com/maps/place/?q=place_id:ChIJL3_6GV6aToYRPsSy5uppe9Y,,N/A,,,,"1116 S Westmoreland Rd, Dallas, TX 75211, USA",3.8,6,No,Carne Asada Al Carbón,,Web Not Found,"1116 S Westmoreland Rd, Dallas, TX 75211, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,N/A,,
Tres Arbolitos,https://www.google.com/maps/place/?q=place_id:ChIJx_Ih8mOaToYRpBWXVQG9M1s,,https://tresarbolitostx.com/,tresarbolitostx.com,1,+1 945-758-1775,"3212 Falls Dr, Dallas, TX 75211, USA",4.4,89,No,Tres Arbolitos,tresarbolitostx.com,Web Working,"3212 Falls Dr Dallas, TX 75211, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 945 758-1775,,
LA Nuevo Punta da - Authentic Mexican Cusine,https://www.google.com/maps/place/?q=place_id:ChIJS2RNY_OaToYRlU3VfHufhQU,,lanuevapuntada.com,,,,"3738 W Clarendon Dr, Dallas, TX 75211, USA",,,No,LA Nuevo Punta da - Authentic Mexican Cusine,lanuevapuntada.com,Web Working,"3738 W Clarendon Dr, Dallas, TX 75211, United States",United States,,Owner,Amador,Vazquez,N/A,N/A,,https://www.facebook.com/lnptortillerias,Not Found,N/A,1 972-266-2332,,
Pollos a la Leña el Mezquital,https://www.google.com/maps/place/?q=place_id:ChIJI3zNp3ObToYR582ntU06zLE,,,,,+1 972-707-0077,"618 S Westmoreland Rd, Dallas, TX 75211, USA",5,2,No,Pollos a la Leña el Mezquital,N/A,Web Working,"618 S Westmoreland Rd, Dallas, TX 75211, United States",United States,,,,,N/A,N/A,,,Not Found,N/A,1 972 707 0077,,
Mr. Wong's Chicken & Rice - Illinois Ave,https://www.google.com/maps/place/?q=place_id:ChIJX-xVwnKaToYRTAgHW2FXKsY,,http://mrwongschicken.com/,mrwongschicken.com,4,+1 214-339-7070,"2415 W Illinois Ave, Dallas, TX 75233, USA",4.1,903,No,Mr. Wong's Chicken & Rice,mrwongschicken.com,Web Working,"2415 W Illinois Ave, Dallas, TX 75233, United States",United States,,Owner,Wong,,N/A,simon@mrwongschicken.com,,,Valid Email,N/A,1 214-339-7070,,
